Record#;Publisher;Publication Title;UKB APC discount %;HOOP1;HOOP2;HOOP3;Impact Factor 2014;JCR Quartile 2014;"ISSN
print";"ISSN
Online";Collection Code;Collection 2016;URL;;JCR subject category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22130;Elsevier;Environmental Innovation and Societal Transitions;100;Economie;;;;;2210-4224;2210-4224;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/22104224; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12085;Elsevier;Environmental Science and Policy;100;Natuur;;;3.018;Q1;1462-9011;1462-9011;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/14629011; ;"BIOCHEMICAL RESEARCH METHODS;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;CHEMISTRY, ANALYTICAL;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20617;Elsevier;European Journal of Oncology Nursing;100;Gezondheid;;;1.426;Q4;1462-3889;1462-3889;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/14623889; ;"APPLIED LINGUISTICS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12132;Elsevier;European Journal of Protistology;100;Natuur;;;2.800;Q2;0932-4739;0932-4739;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/09324739; ;"EDUCATION & EDUCATIONAL RESEARCH;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12197;Elsevier;Fish and Shellfish Immunology;100;Landbouw;;;2.674;Q1;1050-4648;1095-9947;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10504648; ;"BEHAVIORAL SCIENCES;ZOOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12229;Elsevier;Fuel;100;Natuur;;;3.520;Q1;0016-2361;0016-2361;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00162361; ;"GENETICS & HEREDITY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12232;Elsevier;Fuel Processing Technology;100;Natuur;;;3.352;Q1;0378-3820;0378-3820;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03783820; ;"GENETICS & HEREDITY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20624;Elsevier;Fungal Genetics and Biology;100;Landbouw;Gezondheid;;2.587;Q2;1087-1845;1096-0937;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10871845; ;"MATHEMATICS, APPLIED;PHYSICS, MATHEMATICAL;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12236;Elsevier;Fusion Engineering and Design;100;Natuur;;;1.152;Q2;0920-3796;0920-3796;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/09203796; ;"ONCOLOGY;GERIATRICS & GERONTOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12267;Elsevier;Geothermics;100;Natuur;;;2.949;Q2;0375-6505;0375-6505;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03756505; ;"ENTOMOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
